,0
0,GrpE
1,Methyltransf_5
2,PGK
3,Ribosomal_L10
4,Ribosomal_L23
5,Ribosomal_L3
6,Ribosomal_L4
7,Ribosomal_L5
8,Ribosomal_L6
9,Ribosomal_S11
10,Ribosomal_S13
11,Ribosomal_S17
12,Ribosomal_S8
13,Ribosomal_S9
14,TIGR00001
15,TIGR00002
16,TIGR00009
17,TIGR00012
18,TIGR00019
19,TIGR00029
20,TIGR00043
21,TIGR00059
22,TIGR00060
23,TIGR00061
24,TIGR00062
25,TIGR00064
26,TIGR00082
27,TIGR00086
28,TIGR00092
29,TIGR00115
30,TIGR00116
31,TIGR00152
32,TIGR00158
33,TIGR00165
34,TIGR00166
35,TIGR00168
36,TIGR00234
37,TIGR00337
38,TIGR00344
39,TIGR00362
40,TIGR00389
41,TIGR00392
42,TIGR00396
43,TIGR00409
44,TIGR00414
45,TIGR00418
46,TIGR00420
47,TIGR00422
48,TIGR00435
49,TIGR00436
50,TIGR00442
51,TIGR00459
52,TIGR00460
53,TIGR00468
54,TIGR00472
55,TIGR00487
56,TIGR00496
57,TIGR00575
58,TIGR00631
59,TIGR00663
60,TIGR00755
61,TIGR00810
62,TIGR00855
63,TIGR00922
64,TIGR00952
65,TIGR00959
66,TIGR00963
67,TIGR00964
68,TIGR00967
69,TIGR00981
70,TIGR01009
71,TIGR01011
72,TIGR01017
73,TIGR01021
74,TIGR01024
75,TIGR01029
76,TIGR01030
77,TIGR01031
78,TIGR01032
79,TIGR01044
80,TIGR01049
81,TIGR01050
82,TIGR01059
83,TIGR01063
84,TIGR01066
85,TIGR01067
86,TIGR01071
87,TIGR01079
88,TIGR01164
89,TIGR01169
90,TIGR01171
91,TIGR01391
92,TIGR01393
93,TIGR01632
94,TIGR01953
95,TIGR02012
96,TIGR02013
97,TIGR02027
98,TIGR02191
99,TIGR02350
100,TIGR02387
101,TIGR02397
102,TIGR02432
103,TIGR02729
104,TIGR03263
105,TIGR03594
106,tRNA-synt_1d
