,bin_size
bin.aamb_000347.fa,313
bin.aamb_000013.fa,293
bin.aamb_000274.fa,286
bin.aamb_000215.fa,268
bin.aamb_000160.fa,182
bin.aamb_000352.fa,156
bin.aamb_000063.fa,147
bin.aamb_000155.fa,140
bin.aamb_000273.fa,127
bin.aamb_000046.fa,125
bin.aamb_000219.fa,122
bin.aamb_000002.fa,110
bin.aamb_000353.fa,109
bin.aamb_000021.fa,108
bin.aamb_000238.fa,107
bin.aamb_000177.fa,106
bin.aamb_000296.fa,105
bin.aamb_000100.fa,97
bin.aamb_000143.fa,91
bin.aamb_000092.fa,89
bin.aamb_000356.fa,89
bin.aamb_000309.fa,89
bin.aamb_000015.fa,88
bin.aamb_000037.fa,88
bin.aamb_000165.fa,83
bin.aamb_000010.fa,82
bin.aamb_000362.fa,82
bin.aamb_000351.fa,81
bin.aamb_000018.fa,79
bin.aamb_000161.fa,79
bin.aamb_000196.fa,79
bin.aamb_000246.fa,79
bin.aamb_000023.fa,78
bin.aamb_000145.fa,77
bin.aamb_000370.fa,77
bin.aamb_000338.fa,77
bin.aamb_000284.fa,76
bin.aamb_000045.fa,75
bin.aamb_000209.fa,74
bin.aamb_000175.fa,72
bin.aamb_000298.fa,72
bin.aamb_000341.fa,72
bin.aamb_000073.fa,71
bin.aamb_000163.fa,71
bin.aamb_000189.fa,71
bin.aamb_000280.fa,70
bin.aamb_000380.fa,70
bin.aamb_000019.fa,69
bin.aamb_000146.fa,69
bin.aamb_000202.fa,69
bin.aamb_000106.fa,68
bin.aamb_000132.fa,68
bin.aamb_000250.fa,68
bin.aamb_000104.fa,67
bin.aamb_000121.fa,67
bin.aamb_000204.fa,67
bin.aamb_000257.fa,67
bin.aamb_000166.fa,66
bin.aamb_000382.fa,66
bin.aamb_000070.fa,65
bin.aamb_000207.fa,65
bin.aamb_000245.fa,65
bin.aamb_000329.fa,65
bin.aamb_000032.fa,64
bin.aamb_000113.fa,64
bin.aamb_000183.fa,64
bin.aamb_000188.fa,64
bin.aamb_000332.fa,64
bin.aamb_000093.fa,63
bin.aamb_000001.fa,63
bin.aamb_000052.fa,62
bin.aamb_000089.fa,62
bin.aamb_000135.fa,62
bin.aamb_000176.fa,62
bin.aamb_000212.fa,62
bin.aamb_000348.fa,62
bin.aamb_000141.fa,61
bin.aamb_000005.fa,60
bin.aamb_000074.fa,60
bin.aamb_000221.fa,60
bin.aamb_000225.fa,60
bin.aamb_000234.fa,60
bin.aamb_000378.fa,60
bin.aamb_000312.fa,60
bin.aamb_000344.fa,60
bin.aamb_000055.fa,59
bin.aamb_000064.fa,59
bin.aamb_000328.fa,59
bin.aamb_000330.fa,59
bin.aamb_000388.fa,59
bin.aamb_000136.fa,58
bin.aamb_000151.fa,58
bin.aamb_000252.fa,58
bin.aamb_000365.fa,58
bin.aamb_000134.fa,57
bin.aamb_000193.fa,57
bin.aamb_000247.fa,57
bin.aamb_000016.fa,56
bin.aamb_000149.fa,56
bin.aamb_000229.fa,56
bin.aamb_000292.fa,56
bin.aamb_000012.fa,55
bin.aamb_000061.fa,55
bin.aamb_000198.fa,55
bin.aamb_000318.fa,55
bin.aamb_000346.fa,55
bin.aamb_000133.fa,54
bin.aamb_000150.fa,54
bin.aamb_000249.fa,54
bin.aamb_000024.fa,53
bin.aamb_000031.fa,53
bin.aamb_000237.fa,53
bin.aamb_000331.fa,53
bin.aamb_000082.fa,52
bin.aamb_000294.fa,52
bin.aamb_000375.fa,52
bin.aamb_000069.fa,51
bin.aamb_000201.fa,51
bin.aamb_000203.fa,51
bin.aamb_000277.fa,51
bin.aamb_000004.fa,50
bin.aamb_000342.fa,50
bin.aamb_000369.fa,50
bin.aamb_000036.fa,49
bin.aamb_000316.fa,49
bin.aamb_000025.fa,48
bin.aamb_000029.fa,48
bin.aamb_000142.fa,48
bin.aamb_000190.fa,48
bin.aamb_000003.fa,47
bin.aamb_000185.fa,47
bin.aamb_000226.fa,47
bin.aamb_000295.fa,47
bin.aamb_000014.fa,46
bin.aamb_000017.fa,46
bin.aamb_000053.fa,46
bin.aamb_000200.fa,46
bin.aamb_000308.fa,46
bin.aamb_000059.fa,45
bin.aamb_000107.fa,45
bin.aamb_000137.fa,45
bin.aamb_000167.fa,45
bin.aamb_000248.fa,45
bin.aamb_000333.fa,45
bin.aamb_000389.fa,45
bin.aamb_000216.fa,44
bin.aamb_000258.fa,44
bin.aamb_000315.fa,44
bin.aamb_000043.fa,43
bin.aamb_000056.fa,43
bin.aamb_000153.fa,43
bin.aamb_000197.fa,43
bin.aamb_000340.fa,43
bin.aamb_000350.fa,42
bin.aamb_000368.fa,42
bin.aamb_000028.fa,41
bin.aamb_000111.fa,41
bin.aamb_000255.fa,41
bin.aamb_000006.fa,39
bin.aamb_000057.fa,39
bin.aamb_000253.fa,39
bin.aamb_000270.fa,39
bin.aamb_000304.fa,39
bin.aamb_000076.fa,38
bin.aamb_000300.fa,38
