,bin_size
bin.comebin_000004.fa,42
bin.comebin_000005.fa,14
bin.comebin_000006.fa,1
bin.comebin_000008.fa,24
bin.comebin_000009.fa,1
bin.comebin_000010.fa,15
bin.comebin_000011.fa,1
bin.comebin_000013.fa,58
bin.comebin_000014.fa,102
bin.comebin_000015.fa,1
bin.comebin_000016.fa,1
bin.comebin_000018.fa,58
bin.comebin_000019.fa,29
bin.comebin_000020.fa,41
bin.comebin_000021.fa,56
bin.comebin_000023.fa,1
bin.comebin_000024.fa,22
bin.comebin_000025.fa,1
bin.comebin_000026.fa,1
bin.comebin_000028.fa,13
bin.comebin_000029.fa,1
bin.comebin_000030.fa,42
bin.comebin_000031.fa,14
bin.comebin_000033.fa,41
bin.comebin_000034.fa,1
bin.comebin_000035.fa,1
bin.comebin_000036.fa,48
bin.comebin_000038.fa,1
bin.comebin_000039.fa,1
bin.comebin_000040.fa,2
bin.comebin_000041.fa,19
bin.comebin_000042.fa,22
bin.comebin_000043.fa,1
bin.comebin_000044.fa,1
bin.comebin_000046.fa,20
bin.comebin_000047.fa,1
bin.comebin_000048.fa,35
bin.comebin_000049.fa,1
bin.comebin_000051.fa,1
bin.comebin_000052.fa,79
bin.comebin_000053.fa,9
bin.comebin_000054.fa,1
bin.comebin_000056.fa,5
bin.comebin_000057.fa,35
bin.comebin_000058.fa,1
bin.comebin_000059.fa,65
bin.comebin_000061.fa,1
bin.comebin_000062.fa,27
bin.comebin_000063.fa,38
bin.comebin_000064.fa,50
bin.comebin_000066.fa,14
bin.comebin_000067.fa,1
bin.comebin_000068.fa,75
bin.comebin_000069.fa,32
bin.comebin_000071.fa,1
bin.comebin_000072.fa,4
bin.comebin_000073.fa,1
bin.comebin_000074.fa,1
bin.comebin_000076.fa,1
bin.comebin_000077.fa,17
bin.comebin_000078.fa,67
bin.comebin_000079.fa,10
bin.comebin_000081.fa,1
bin.comebin_000082.fa,2
bin.comebin_000083.fa,1
bin.comebin_000084.fa,1
bin.comebin_000086.fa,1
bin.comebin_000087.fa,1
bin.comebin_000088.fa,11
bin.comebin_000089.fa,41
bin.comebin_000091.fa,45
bin.comebin_000092.fa,2
bin.comebin_000093.fa,1
bin.comebin_000094.fa,6
bin.comebin_000096.fa,15
bin.comebin_000097.fa,1
bin.comebin_000098.fa,1
bin.comebin_000099.fa,1
bin.comebin_000101.fa,34
bin.comebin_000102.fa,1
bin.comebin_000103.fa,1
bin.comebin_000104.fa,3
bin.comebin_000106.fa,1
bin.comebin_000107.fa,8
bin.comebin_000108.fa,1
bin.comebin_000109.fa,1
bin.comebin_000111.fa,62
bin.comebin_000112.fa,38
bin.comebin_000113.fa,2
bin.comebin_000114.fa,4
bin.comebin_000116.fa,4
bin.comebin_000117.fa,2
bin.comebin_000118.fa,87
bin.comebin_000119.fa,31
bin.comebin_000121.fa,30
bin.comebin_000122.fa,1
bin.comebin_000124.fa,3
bin.comebin_000125.fa,13
bin.comebin_000126.fa,5
bin.comebin_000127.fa,3
bin.comebin_000128.fa,50
bin.comebin_000129.fa,56
bin.comebin_000130.fa,60
bin.comebin_000131.fa,4
bin.comebin_000133.fa,2
bin.comebin_000134.fa,1
bin.comebin_000135.fa,1
bin.comebin_000136.fa,26
bin.comebin_000138.fa,18
bin.comebin_000139.fa,82
bin.comebin_000140.fa,38
bin.comebin_000141.fa,1
bin.comebin_000143.fa,2
bin.comebin_000144.fa,1
bin.comebin_000145.fa,1
bin.comebin_000146.fa,2
bin.comebin_000148.fa,6
bin.comebin_000149.fa,1
bin.comebin_000150.fa,1
bin.comebin_000151.fa,14
bin.comebin_000153.fa,2
bin.comebin_000154.fa,16
bin.comebin_000155.fa,1
bin.comebin_000156.fa,1
