,bin_size
bin.lorbin_000033.fa,44
bin.lorbin_000034.fa,81
bin.lorbin_000035.fa,1
bin.lorbin_000036.fa,58
bin.lorbin_000037.fa,42
bin.lorbin_000038.fa,15
bin.lorbin_000039.fa,48
bin.lorbin_000040.fa,10
bin.lorbin_000041.fa,3
bin.lorbin_000042.fa,13
bin.lorbin_000043.fa,1
bin.lorbin_000044.fa,26
bin.lorbin_000045.fa,67
bin.lorbin_000046.fa,44
bin.lorbin_000047.fa,11
bin.lorbin_000048.fa,48
bin.lorbin_000049.fa,54
bin.lorbin_000050.fa,53
bin.lorbin_000051.fa,12
bin.lorbin_000052.fa,11
bin.lorbin_000053.fa,31
bin.lorbin_000054.fa,33
bin.lorbin_000055.fa,20
bin.lorbin_000056.fa,35
bin.lorbin_000057.fa,113
bin.lorbin_000058.fa,40
bin.lorbin_000059.fa,175
bin.lorbin_000060.fa,1
bin.lorbin_000061.fa,2
bin.lorbin_000062.fa,13
bin.lorbin_000063.fa,6
bin.lorbin_000064.fa,51
bin.lorbin_000065.fa,2
bin.lorbin_000066.fa,42
bin.lorbin_000067.fa,3
bin.lorbin_000068.fa,48
bin.lorbin_000069.fa,46
bin.lorbin_000070.fa,47
bin.lorbin_000071.fa,51
bin.lorbin_000072.fa,14
bin.lorbin_000073.fa,8
bin.lorbin_000074.fa,530
bin.lorbin_000075.fa,28
bin.lorbin_000076.fa,73
bin.lorbin_000077.fa,167
bin.lorbin_000078.fa,1
bin.lorbin_000079.fa,67
bin.lorbin_000080.fa,42
bin.lorbin_000081.fa,1
bin.lorbin_000082.fa,22
bin.lorbin_000083.fa,11
bin.lorbin_000084.fa,26
bin.lorbin_000085.fa,63
bin.lorbin_000086.fa,31
bin.lorbin_000087.fa,14
bin.lorbin_000088.fa,8
bin.lorbin_000089.fa,38
bin.lorbin_000090.fa,7
bin.lorbin_000091.fa,57
bin.lorbin_000092.fa,51
bin.lorbin_000093.fa,129
bin.lorbin_000094.fa,1
bin.lorbin_000095.fa,1
bin.lorbin_000096.fa,14
bin.lorbin_000097.fa,39
bin.lorbin_000098.fa,2
bin.lorbin_000099.fa,50
bin.lorbin_000100.fa,28
bin.lorbin_000101.fa,145
bin.lorbin_000102.fa,117
bin.lorbin_000103.fa,32
bin.lorbin_000104.fa,1
bin.lorbin_000105.fa,8
bin.lorbin_000106.fa,153
bin.lorbin_000107.fa,38
bin.lorbin_000108.fa,37
bin.lorbin_000109.fa,89
bin.lorbin_000110.fa,62
bin.lorbin_000111.fa,137
bin.lorbin_000112.fa,103
bin.lorbin_000113.fa,42
bin.lorbin_000114.fa,1
bin.lorbin_000115.fa,2
bin.lorbin_000116.fa,7
bin.lorbin_000117.fa,49
bin.lorbin_000118.fa,10
bin.lorbin_000119.fa,60
bin.lorbin_000120.fa,24
bin.lorbin_000121.fa,2
bin.lorbin_000122.fa,53
bin.lorbin_000123.fa,57
bin.lorbin_000124.fa,20
bin.lorbin_000125.fa,142
bin.lorbin_000126.fa,26
bin.lorbin_000127.fa,19
bin.lorbin_000128.fa,14
bin.lorbin_000129.fa,35
bin.lorbin_000130.fa,46
bin.lorbin_000131.fa,27
bin.lorbin_000132.fa,134
bin.lorbin_000133.fa,6
bin.lorbin_000134.fa,2
bin.lorbin_000135.fa,14
bin.lorbin_000136.fa,6
bin.lorbin_000137.fa,20
bin.lorbin_000138.fa,36
bin.lorbin_000139.fa,4
bin.lorbin_000140.fa,3
bin.lorbin_000141.fa,14
bin.lorbin_000142.fa,185
bin.lorbin_000143.fa,154
bin.lorbin_000144.fa,202
bin.lorbin_000145.fa,74
bin.lorbin_000146.fa,7
bin.lorbin_000147.fa,1
bin.lorbin_000148.fa,24
bin.lorbin_000149.fa,5
bin.lorbin_000150.fa,10
bin.lorbin_000151.fa,18
bin.lorbin_000152.fa,41
bin.lorbin_000153.fa,63
bin.lorbin_000154.fa,26
bin.lorbin_000155.fa,56
bin.lorbin_000156.fa,71
bin.lorbin_000157.fa,29
bin.lorbin_000158.fa,25
bin.lorbin_000159.fa,7
bin.lorbin_000160.fa,34
bin.lorbin_000161.fa,3
bin.lorbin_000162.fa,100
bin.lorbin_000163.fa,106
bin.lorbin_000164.fa,33
bin.lorbin_000165.fa,1
bin.lorbin_000166.fa,52
bin.lorbin_000167.fa,22
bin.lorbin_000168.fa,2
bin.lorbin_000169.fa,2
bin.lorbin_000170.fa,2
bin.lorbin_000171.fa,7
bin.lorbin_000172.fa,25
bin.lorbin_000173.fa,4
bin.lorbin_000174.fa,3
bin.lorbin_000175.fa,37
bin.lorbin_000176.fa,20
bin.lorbin_000177.fa,6
bin.lorbin_000178.fa,43
bin.lorbin_000179.fa,31
bin.lorbin_000180.fa,30
bin.lorbin_000181.fa,77
bin.lorbin_000182.fa,76
bin.lorbin_000183.fa,49
bin.lorbin_000184.fa,16
bin.lorbin_000185.fa,39
bin.lorbin_000186.fa,62
bin.lorbin_000187.fa,10
bin.lorbin_000188.fa,38
bin.lorbin_000189.fa,146
bin.lorbin_000190.fa,48
bin.lorbin_000191.fa,1
bin.lorbin_000192.fa,6
bin.lorbin_000193.fa,2
bin.lorbin_000194.fa,2
bin.lorbin_000195.fa,2
bin.lorbin_000196.fa,76
bin.lorbin_000197.fa,94
bin.lorbin_000198.fa,134
bin.lorbin_000199.fa,96
bin.lorbin_000200.fa,54
bin.lorbin_000201.fa,37
bin.lorbin_000032.fa,78
bin.lorbin_000202.fa,15
bin.lorbin_000203.fa,5
bin.lorbin_000204.fa,1
