,bin_size
bin.metabat2_000002.fa,1
bin.metabat2_000003.fa,1
bin.metabat2_000004.fa,1
bin.metabat2_000005.fa,1
bin.metabat2_000006.fa,1
bin.metabat2_000007.fa,1
bin.metabat2_000008.fa,1
bin.metabat2_000009.fa,1
bin.metabat2_000010.fa,1
bin.metabat2_000011.fa,1
bin.metabat2_000012.fa,1
bin.metabat2_000013.fa,1
bin.metabat2_000014.fa,1
bin.metabat2_000015.fa,1
bin.metabat2_000016.fa,1
bin.metabat2_000017.fa,1
bin.metabat2_000018.fa,1
bin.metabat2_000019.fa,1
bin.metabat2_000020.fa,1
bin.metabat2_000021.fa,1
bin.metabat2_000022.fa,1
bin.metabat2_000023.fa,1
bin.metabat2_000024.fa,1
bin.metabat2_000025.fa,1
bin.metabat2_000026.fa,1
bin.metabat2_000027.fa,1
bin.metabat2_000028.fa,1
bin.metabat2_000029.fa,1
bin.metabat2_000030.fa,1
bin.metabat2_000031.fa,1
bin.metabat2_000032.fa,1
bin.metabat2_000033.fa,1
bin.metabat2_000034.fa,1
bin.metabat2_000035.fa,1
bin.metabat2_000036.fa,1
bin.metabat2_000037.fa,1
bin.metabat2_000038.fa,1
bin.metabat2_000039.fa,1
bin.metabat2_000040.fa,1
bin.metabat2_000041.fa,1
bin.metabat2_000042.fa,1
bin.metabat2_000043.fa,1
bin.metabat2_000044.fa,1
bin.metabat2_000045.fa,1
bin.metabat2_000046.fa,1
bin.metabat2_000047.fa,1
bin.metabat2_000048.fa,1
bin.metabat2_000049.fa,1
bin.metabat2_000050.fa,1
bin.metabat2_000051.fa,1
bin.metabat2_000052.fa,1
bin.metabat2_000053.fa,1
bin.metabat2_000054.fa,1
bin.metabat2_000055.fa,1
bin.metabat2_000056.fa,1
bin.metabat2_000057.fa,1
bin.metabat2_000058.fa,1
bin.metabat2_000059.fa,1
bin.metabat2_000060.fa,1
bin.metabat2_000061.fa,1
bin.metabat2_000062.fa,1
bin.metabat2_000063.fa,1
bin.metabat2_000064.fa,1
bin.metabat2_000065.fa,1
bin.metabat2_000066.fa,1
bin.metabat2_000067.fa,1
bin.metabat2_000068.fa,12
bin.metabat2_000069.fa,1
bin.metabat2_000070.fa,1
bin.metabat2_000071.fa,1
bin.metabat2_000072.fa,1
bin.metabat2_000073.fa,1
bin.metabat2_000074.fa,1
bin.metabat2_000075.fa,1
bin.metabat2_000076.fa,1
bin.metabat2_000077.fa,1
bin.metabat2_000078.fa,1
bin.metabat2_000079.fa,1
bin.metabat2_000080.fa,1
bin.metabat2_000081.fa,1
bin.metabat2_000082.fa,1
bin.metabat2_000083.fa,1
bin.metabat2_000084.fa,1
bin.metabat2_000085.fa,1
bin.metabat2_000086.fa,1
bin.metabat2_000087.fa,1
bin.metabat2_000088.fa,1
bin.metabat2_000089.fa,1
bin.metabat2_000090.fa,1
bin.metabat2_000091.fa,1
bin.metabat2_000092.fa,1
bin.metabat2_000093.fa,1
bin.metabat2_000094.fa,1
bin.metabat2_000095.fa,1
bin.metabat2_000096.fa,1
bin.metabat2_000097.fa,2
bin.metabat2_000098.fa,1
bin.metabat2_000099.fa,4
bin.metabat2_000100.fa,1
bin.metabat2_000101.fa,1
bin.metabat2_000102.fa,1
bin.metabat2_000103.fa,1
bin.metabat2_000104.fa,1
bin.metabat2_000105.fa,1
bin.metabat2_000106.fa,1
bin.metabat2_000107.fa,2
bin.metabat2_000108.fa,1
bin.metabat2_000109.fa,1
bin.metabat2_000110.fa,1
bin.metabat2_000111.fa,1
bin.metabat2_000112.fa,1
bin.metabat2_000113.fa,1
bin.metabat2_000114.fa,1
bin.metabat2_000115.fa,2
bin.metabat2_000116.fa,1
bin.metabat2_000117.fa,1
bin.metabat2_000118.fa,1
bin.metabat2_000119.fa,1
bin.metabat2_000120.fa,1
bin.metabat2_000121.fa,1
bin.metabat2_000122.fa,1
bin.metabat2_000123.fa,1
bin.metabat2_000124.fa,1
bin.metabat2_000125.fa,1
bin.metabat2_000126.fa,1
bin.metabat2_000127.fa,1
bin.metabat2_000128.fa,1
bin.metabat2_000129.fa,1
bin.metabat2_000130.fa,1
bin.metabat2_000131.fa,1
bin.metabat2_000132.fa,1
bin.metabat2_000133.fa,1
bin.metabat2_000134.fa,1
bin.metabat2_000135.fa,1
bin.metabat2_000136.fa,1
bin.metabat2_000137.fa,1
bin.metabat2_000138.fa,1
bin.metabat2_000139.fa,1
bin.metabat2_000140.fa,1
bin.metabat2_000141.fa,1
bin.metabat2_000142.fa,1
bin.metabat2_000143.fa,1
bin.metabat2_000144.fa,1
bin.metabat2_000145.fa,1
bin.metabat2_000146.fa,1
bin.metabat2_000147.fa,1
bin.metabat2_000148.fa,1
bin.metabat2_000149.fa,1
bin.metabat2_000150.fa,1
bin.metabat2_000151.fa,1
bin.metabat2_000152.fa,1
bin.metabat2_000153.fa,1
bin.metabat2_000154.fa,1
bin.metabat2_000155.fa,1
bin.metabat2_000156.fa,5
bin.metabat2_000157.fa,1
bin.metabat2_000158.fa,1
bin.metabat2_000159.fa,1
bin.metabat2_000160.fa,1
bin.metabat2_000001.fa,1
