,bin_size
bin.semibin_000067.fa,7
bin.semibin_000068.fa,44
bin.semibin_000069.fa,33
bin.semibin_000070.fa,265
bin.semibin_000071.fa,20
bin.semibin_000072.fa,65
bin.semibin_000073.fa,11
bin.semibin_000074.fa,80
bin.semibin_000075.fa,256
bin.semibin_000076.fa,49
bin.semibin_000077.fa,62
bin.semibin_000078.fa,26
bin.semibin_000079.fa,1
bin.semibin_000080.fa,100
bin.semibin_000081.fa,45
bin.semibin_000082.fa,14
bin.semibin_000083.fa,32
bin.semibin_000084.fa,21
bin.semibin_000085.fa,30
bin.semibin_000086.fa,78
bin.semibin_000087.fa,2
bin.semibin_000088.fa,7
bin.semibin_000089.fa,11
bin.semibin_000090.fa,113
bin.semibin_000091.fa,130
bin.semibin_000092.fa,119
bin.semibin_000093.fa,87
bin.semibin_000094.fa,185
bin.semibin_000095.fa,44
bin.semibin_000096.fa,5
bin.semibin_000097.fa,8
bin.semibin_000098.fa,66
bin.semibin_000099.fa,39
bin.semibin_000100.fa,38
bin.semibin_000101.fa,19
bin.semibin_000102.fa,58
bin.semibin_000103.fa,74
bin.semibin_000104.fa,48
bin.semibin_000105.fa,69
bin.semibin_000106.fa,106
bin.semibin_000107.fa,1
bin.semibin_000108.fa,75
bin.semibin_000109.fa,13
bin.semibin_000110.fa,90
bin.semibin_000111.fa,33
bin.semibin_000112.fa,24
bin.semibin_000113.fa,38
bin.semibin_000114.fa,8
bin.semibin_000115.fa,56
bin.semibin_000116.fa,54
bin.semibin_000117.fa,60
bin.semibin_000118.fa,60
bin.semibin_000119.fa,43
bin.semibin_000120.fa,12
bin.semibin_000121.fa,39
bin.semibin_000122.fa,10
bin.semibin_000123.fa,55
bin.semibin_000124.fa,91
bin.semibin_000125.fa,25
bin.semibin_000126.fa,2
bin.semibin_000127.fa,3
bin.semibin_000128.fa,97
bin.semibin_000129.fa,22
bin.semibin_000130.fa,84
bin.semibin_000131.fa,13
bin.semibin_000132.fa,13
bin.semibin_000133.fa,22
bin.semibin_000134.fa,64
bin.semibin_000135.fa,26
bin.semibin_000136.fa,51
bin.semibin_000137.fa,63
bin.semibin_000138.fa,41
bin.semibin_000139.fa,9
bin.semibin_000140.fa,79
bin.semibin_000141.fa,54
bin.semibin_000142.fa,72
bin.semibin_000143.fa,103
bin.semibin_000144.fa,5
bin.semibin_000145.fa,49
bin.semibin_000146.fa,35
bin.semibin_000147.fa,59
bin.semibin_000148.fa,49
bin.semibin_000149.fa,45
bin.semibin_000150.fa,2
bin.semibin_000151.fa,12
bin.semibin_000152.fa,36
bin.semibin_000153.fa,3
bin.semibin_000154.fa,21
bin.semibin_000155.fa,3
bin.semibin_000156.fa,36
bin.semibin_000157.fa,33
bin.semibin_000158.fa,42
bin.semibin_000159.fa,41
bin.semibin_000160.fa,104
bin.semibin_000161.fa,66
bin.semibin_000162.fa,70
bin.semibin_000163.fa,100
bin.semibin_000164.fa,272
bin.semibin_000165.fa,79
bin.semibin_000166.fa,49
bin.semibin_000167.fa,48
bin.semibin_000168.fa,110
bin.semibin_000169.fa,37
bin.semibin_000170.fa,100
bin.semibin_000171.fa,7
bin.semibin_000172.fa,13
bin.semibin_000173.fa,102
bin.semibin_000174.fa,76
bin.semibin_000175.fa,83
bin.semibin_000176.fa,130
bin.semibin_000177.fa,90
bin.semibin_000178.fa,2
bin.semibin_000179.fa,22
bin.semibin_000180.fa,68
bin.semibin_000181.fa,12
bin.semibin_000182.fa,86
bin.semibin_000183.fa,13
bin.semibin_000184.fa,4
bin.semibin_000185.fa,67
bin.semibin_000186.fa,51
bin.semibin_000187.fa,8
bin.semibin_000188.fa,4
bin.semibin_000189.fa,80
bin.semibin_000190.fa,3
bin.semibin_000191.fa,49
bin.semibin_000192.fa,49
bin.semibin_000193.fa,88
bin.semibin_000194.fa,18
bin.semibin_000195.fa,10
bin.semibin_000196.fa,59
bin.semibin_000197.fa,55
bin.semibin_000198.fa,56
bin.semibin_000199.fa,6
bin.semibin_000200.fa,45
bin.semibin_000201.fa,26
bin.semibin_000202.fa,23
bin.semibin_000203.fa,34
bin.semibin_000204.fa,57
bin.semibin_000205.fa,57
bin.semibin_000206.fa,91
bin.semibin_000207.fa,68
bin.semibin_000208.fa,3
bin.semibin_000209.fa,1
bin.semibin_000210.fa,81
bin.semibin_000211.fa,50
bin.semibin_000212.fa,10
bin.semibin_000213.fa,48
bin.semibin_000214.fa,16
bin.semibin_000215.fa,7
bin.semibin_000216.fa,54
bin.semibin_000217.fa,43
bin.semibin_000218.fa,59
bin.semibin_000219.fa,3
bin.semibin_000220.fa,8
bin.semibin_000221.fa,25
bin.semibin_000222.fa,52
bin.semibin_000223.fa,37
bin.semibin_000224.fa,74
bin.semibin_000225.fa,69
bin.semibin_000226.fa,67
bin.semibin_000227.fa,36
bin.semibin_000228.fa,65
bin.semibin_000229.fa,65
bin.semibin_000230.fa,32
bin.semibin_000231.fa,30
bin.semibin_000232.fa,59
bin.semibin_000233.fa,21
bin.semibin_000234.fa,28
bin.semibin_000235.fa,9
bin.semibin_000236.fa,75
bin.semibin_000237.fa,54
bin.semibin_000238.fa,63
bin.semibin_000239.fa,55
bin.semibin_000240.fa,11
bin.semibin_000241.fa,13
bin.semibin_000242.fa,22
bin.semibin_000243.fa,25
bin.semibin_000244.fa,86
bin.semibin_000245.fa,83
bin.semibin_000246.fa,52
bin.semibin_000247.fa,47
bin.semibin_000248.fa,6
bin.semibin_000249.fa,89
bin.semibin_000250.fa,69
bin.semibin_000251.fa,22
bin.semibin_000252.fa,115
bin.semibin_000253.fa,17
bin.semibin_000254.fa,91
bin.semibin_000255.fa,107
bin.semibin_000256.fa,20
bin.semibin_000257.fa,20
bin.semibin_000258.fa,41
bin.semibin_000259.fa,40
bin.semibin_000260.fa,77
bin.semibin_000261.fa,9
bin.semibin_000262.fa,41
bin.semibin_000263.fa,47
bin.semibin_000264.fa,64
bin.semibin_000265.fa,61
