,bin_size
bin.semibin2_000041.fa,33
bin.semibin2_000042.fa,57
bin.semibin2_000043.fa,141
bin.semibin2_000044.fa,14
bin.semibin2_000045.fa,9
bin.semibin2_000046.fa,4
bin.semibin2_000047.fa,44
bin.semibin2_000048.fa,1
bin.semibin2_000049.fa,73
bin.semibin2_000050.fa,44
bin.semibin2_000051.fa,54
bin.semibin2_000052.fa,9
bin.semibin2_000053.fa,7
bin.semibin2_000054.fa,50
bin.semibin2_000055.fa,48
bin.semibin2_000056.fa,62
bin.semibin2_000057.fa,10
bin.semibin2_000058.fa,21
bin.semibin2_000059.fa,32
bin.semibin2_000060.fa,48
bin.semibin2_000061.fa,74
bin.semibin2_000062.fa,50
bin.semibin2_000063.fa,107
bin.semibin2_000064.fa,1
bin.semibin2_000065.fa,2
bin.semibin2_000066.fa,14
bin.semibin2_000067.fa,6
bin.semibin2_000068.fa,2
bin.semibin2_000069.fa,47
bin.semibin2_000070.fa,6
bin.semibin2_000071.fa,28
bin.semibin2_000072.fa,12
bin.semibin2_000073.fa,51
bin.semibin2_000074.fa,53
bin.semibin2_000075.fa,50
bin.semibin2_000076.fa,37
bin.semibin2_000077.fa,51
bin.semibin2_000078.fa,111
bin.semibin2_000079.fa,14
bin.semibin2_000080.fa,60
bin.semibin2_000081.fa,1
bin.semibin2_000082.fa,48
bin.semibin2_000083.fa,70
bin.semibin2_000084.fa,8
bin.semibin2_000085.fa,205
bin.semibin2_000086.fa,1
bin.semibin2_000087.fa,30
bin.semibin2_000088.fa,82
bin.semibin2_000089.fa,29
bin.semibin2_000090.fa,42
bin.semibin2_000091.fa,30
bin.semibin2_000092.fa,40
bin.semibin2_000093.fa,20
bin.semibin2_000094.fa,54
bin.semibin2_000095.fa,39
bin.semibin2_000096.fa,44
bin.semibin2_000097.fa,11
bin.semibin2_000098.fa,1
bin.semibin2_000099.fa,1
bin.semibin2_000100.fa,14
bin.semibin2_000101.fa,27
bin.semibin2_000102.fa,11
bin.semibin2_000103.fa,65
bin.semibin2_000104.fa,343
bin.semibin2_000105.fa,8
bin.semibin2_000106.fa,123
bin.semibin2_000107.fa,119
bin.semibin2_000108.fa,13
bin.semibin2_000109.fa,1
bin.semibin2_000110.fa,24
bin.semibin2_000111.fa,124
bin.semibin2_000112.fa,2
bin.semibin2_000113.fa,33
bin.semibin2_000114.fa,78
bin.semibin2_000115.fa,64
bin.semibin2_000116.fa,100
bin.semibin2_000117.fa,50
bin.semibin2_000118.fa,1
bin.semibin2_000119.fa,4
bin.semibin2_000120.fa,66
bin.semibin2_000121.fa,66
bin.semibin2_000122.fa,60
bin.semibin2_000123.fa,58
bin.semibin2_000124.fa,127
bin.semibin2_000125.fa,76
bin.semibin2_000126.fa,101
bin.semibin2_000127.fa,44
bin.semibin2_000128.fa,81
bin.semibin2_000129.fa,14
bin.semibin2_000130.fa,64
bin.semibin2_000131.fa,49
bin.semibin2_000132.fa,12
bin.semibin2_000133.fa,28
bin.semibin2_000134.fa,1
bin.semibin2_000135.fa,4
bin.semibin2_000136.fa,32
bin.semibin2_000137.fa,52
bin.semibin2_000138.fa,382
bin.semibin2_000139.fa,43
bin.semibin2_000140.fa,50
bin.semibin2_000141.fa,39
bin.semibin2_000142.fa,57
bin.semibin2_000143.fa,7
bin.semibin2_000144.fa,24
bin.semibin2_000145.fa,17
bin.semibin2_000146.fa,3
bin.semibin2_000147.fa,53
bin.semibin2_000148.fa,64
bin.semibin2_000149.fa,82
bin.semibin2_000150.fa,1
bin.semibin2_000151.fa,82
bin.semibin2_000152.fa,78
bin.semibin2_000153.fa,10
bin.semibin2_000154.fa,15
bin.semibin2_000155.fa,9
bin.semibin2_000156.fa,1
bin.semibin2_000157.fa,88
bin.semibin2_000158.fa,37
bin.semibin2_000159.fa,28
bin.semibin2_000160.fa,12
bin.semibin2_000161.fa,8
bin.semibin2_000162.fa,45
bin.semibin2_000163.fa,6
bin.semibin2_000164.fa,80
bin.semibin2_000165.fa,47
bin.semibin2_000166.fa,14
bin.semibin2_000167.fa,58
bin.semibin2_000168.fa,20
bin.semibin2_000169.fa,4
bin.semibin2_000170.fa,88
bin.semibin2_000171.fa,34
bin.semibin2_000172.fa,79
bin.semibin2_000173.fa,30
bin.semibin2_000174.fa,1
bin.semibin2_000175.fa,43
bin.semibin2_000176.fa,1
bin.semibin2_000177.fa,31
bin.semibin2_000178.fa,34
bin.semibin2_000179.fa,45
bin.semibin2_000180.fa,3
bin.semibin2_000181.fa,37
bin.semibin2_000182.fa,2
bin.semibin2_000183.fa,22
bin.semibin2_000184.fa,26
bin.semibin2_000185.fa,38
bin.semibin2_000186.fa,31
bin.semibin2_000187.fa,80
bin.semibin2_000188.fa,41
bin.semibin2_000189.fa,87
bin.semibin2_000190.fa,63
bin.semibin2_000191.fa,66
bin.semibin2_000192.fa,34
bin.semibin2_000193.fa,103
bin.semibin2_000194.fa,34
bin.semibin2_000195.fa,54
bin.semibin2_000196.fa,375
bin.semibin2_000197.fa,74
bin.semibin2_000198.fa,25
bin.semibin2_000199.fa,1
bin.semibin2_000200.fa,6
bin.semibin2_000201.fa,2
bin.semibin2_000202.fa,1
bin.semibin2_000203.fa,1
bin.semibin2_000204.fa,74
bin.semibin2_000205.fa,112
bin.semibin2_000206.fa,80
bin.semibin2_000207.fa,96
bin.semibin2_000208.fa,1
bin.semibin2_000209.fa,5
bin.semibin2_000210.fa,4
bin.semibin2_000211.fa,4
bin.semibin2_000212.fa,40
bin.semibin2_000213.fa,46
