,bin_size
bin.vamb_000185.fa,286
bin.vamb_000178.fa,225
bin.vamb_000127.fa,211
bin.vamb_000270.fa,191
bin.vamb_000016.fa,184
bin.vamb_000199.fa,156
bin.vamb_000120.fa,143
bin.vamb_000073.fa,136
bin.vamb_000161.fa,124
bin.vamb_000012.fa,118
bin.vamb_000028.fa,113
bin.vamb_000200.fa,109
bin.vamb_000211.fa,102
bin.vamb_000096.fa,96
bin.vamb_000208.fa,89
bin.vamb_000221.fa,89
bin.vamb_000052.fa,83
bin.vamb_000223.fa,82
bin.vamb_000194.fa,81
bin.vamb_000084.fa,79
bin.vamb_000225.fa,79
bin.vamb_000079.fa,78
bin.vamb_000014.fa,77
bin.vamb_000167.fa,77
bin.vamb_000235.fa,77
bin.vamb_000257.fa,76
bin.vamb_000081.fa,75
bin.vamb_000005.fa,72
bin.vamb_000048.fa,72
bin.vamb_000086.fa,71
bin.vamb_000136.fa,71
bin.vamb_000220.fa,70
bin.vamb_000252.fa,70
bin.vamb_000280.fa,70
bin.vamb_000149.fa,68
bin.vamb_000255.fa,66
bin.vamb_000193.fa,64
bin.vamb_000121.fa,63
bin.vamb_000150.fa,63
bin.vamb_000171.fa,63
bin.vamb_000090.fa,62
bin.vamb_000082.fa,61
bin.vamb_000104.fa,60
bin.vamb_000247.fa,60
bin.vamb_000282.fa,59
bin.vamb_000269.fa,59
bin.vamb_000159.fa,58
bin.vamb_000228.fa,58
bin.vamb_000045.fa,57
bin.vamb_000050.fa,57
bin.vamb_000107.fa,57
bin.vamb_000119.fa,57
bin.vamb_000130.fa,57
bin.vamb_000170.fa,57
bin.vamb_000248.fa,57
bin.vamb_000024.fa,56
bin.vamb_000093.fa,56
bin.vamb_000281.fa,55
bin.vamb_000033.fa,54
bin.vamb_000143.fa,54
bin.vamb_000029.fa,53
bin.vamb_000072.fa,52
bin.vamb_000132.fa,52
bin.vamb_000217.fa,52
bin.vamb_000243.fa,52
bin.vamb_000002.fa,51
bin.vamb_000099.fa,51
bin.vamb_000112.fa,51
bin.vamb_000196.fa,51
bin.vamb_000009.fa,50
bin.vamb_000062.fa,50
bin.vamb_000234.fa,50
bin.vamb_000064.fa,49
bin.vamb_000001.fa,48
bin.vamb_000266.fa,48
bin.vamb_000023.fa,47
bin.vamb_000083.fa,47
bin.vamb_000122.fa,47
bin.vamb_000138.fa,47
bin.vamb_000254.fa,47
bin.vamb_000134.fa,46
bin.vamb_000244.fa,46
bin.vamb_000066.fa,45
bin.vamb_000191.fa,45
bin.vamb_000227.fa,45
bin.vamb_000274.fa,45
bin.vamb_000091.fa,44
bin.vamb_000140.fa,44
bin.vamb_000144.fa,44
bin.vamb_000233.fa,44
bin.vamb_000042.fa,43
bin.vamb_000097.fa,43
bin.vamb_000125.fa,43
bin.vamb_000011.fa,42
bin.vamb_000157.fa,42
bin.vamb_000184.fa,42
bin.vamb_000231.fa,42
bin.vamb_000239.fa,42
bin.vamb_000018.fa,41
bin.vamb_000021.fa,41
bin.vamb_000022.fa,41
bin.vamb_000046.fa,40
bin.vamb_000095.fa,40
bin.vamb_000007.fa,39
bin.vamb_000031.fa,39
bin.vamb_000141.fa,39
bin.vamb_000076.fa,38
bin.vamb_000103.fa,37
bin.vamb_000013.fa,36
bin.vamb_000160.fa,36
bin.vamb_000246.fa,36
bin.vamb_000032.fa,35
bin.vamb_000035.fa,35
bin.vamb_000100.fa,35
bin.vamb_000188.fa,34
bin.vamb_000055.fa,33
bin.vamb_000165.fa,33
bin.vamb_000218.fa,33
bin.vamb_000232.fa,33
bin.vamb_000051.fa,32
bin.vamb_000187.fa,32
bin.vamb_000263.fa,32
bin.vamb_000058.fa,31
bin.vamb_000118.fa,31
bin.vamb_000214.fa,31
bin.vamb_000015.fa,30
bin.vamb_000037.fa,30
bin.vamb_000106.fa,30
bin.vamb_000250.fa,30
bin.vamb_000059.fa,29
bin.vamb_000126.fa,29
bin.vamb_000019.fa,28
bin.vamb_000026.fa,28
bin.vamb_000047.fa,28
bin.vamb_000061.fa,28
bin.vamb_000101.fa,28
bin.vamb_000164.fa,28
bin.vamb_000168.fa,28
bin.vamb_000222.fa,28
bin.vamb_000249.fa,28
bin.vamb_000034.fa,27
bin.vamb_000089.fa,27
bin.vamb_000155.fa,27
bin.vamb_000156.fa,27
bin.vamb_000236.fa,27
bin.vamb_000268.fa,27
bin.vamb_000049.fa,26
bin.vamb_000139.fa,26
bin.vamb_000202.fa,26
bin.vamb_000210.fa,26
bin.vamb_000278.fa,26
bin.vamb_000267.fa,26
bin.vamb_000192.fa,25
bin.vamb_000004.fa,24
bin.vamb_000189.fa,24
bin.vamb_000069.fa,23
bin.vamb_000043.fa,22
bin.vamb_000085.fa,22
bin.vamb_000098.fa,22
bin.vamb_000128.fa,22
bin.vamb_000158.fa,22
bin.vamb_000198.fa,22
bin.vamb_000230.fa,22
bin.vamb_000242.fa,22
bin.vamb_000283.fa,22
bin.vamb_000115.fa,21
bin.vamb_000219.fa,21
bin.vamb_000241.fa,21
bin.vamb_000044.fa,20
bin.vamb_000166.fa,20
bin.vamb_000206.fa,20
bin.vamb_000213.fa,20
bin.vamb_000074.fa,19
bin.vamb_000087.fa,19
bin.vamb_000151.fa,19
bin.vamb_000216.fa,19
bin.vamb_000256.fa,19
bin.vamb_000010.fa,18
bin.vamb_000030.fa,18
bin.vamb_000088.fa,18
bin.vamb_000142.fa,18
bin.vamb_000147.fa,18
bin.vamb_000027.fa,17
bin.vamb_000039.fa,17
bin.vamb_000041.fa,17
bin.vamb_000053.fa,17
bin.vamb_000154.fa,17
bin.vamb_000025.fa,16
bin.vamb_000054.fa,16
bin.vamb_000110.fa,16
bin.vamb_000123.fa,16
bin.vamb_000146.fa,16
bin.vamb_000209.fa,16
bin.vamb_000237.fa,16
bin.vamb_000253.fa,16
bin.vamb_000258.fa,16
bin.vamb_000060.fa,15
bin.vamb_000145.fa,15
bin.vamb_000148.fa,15
bin.vamb_000169.fa,15
bin.vamb_000174.fa,15
bin.vamb_000215.fa,15
bin.vamb_000245.fa,15
bin.vamb_000008.fa,14
bin.vamb_000057.fa,14
bin.vamb_000111.fa,14
bin.vamb_000190.fa,14
bin.vamb_000212.fa,14
bin.vamb_000265.fa,14
bin.vamb_000036.fa,13
bin.vamb_000063.fa,13
bin.vamb_000065.fa,13
bin.vamb_000129.fa,13
bin.vamb_000205.fa,13
bin.vamb_000020.fa,12
bin.vamb_000068.fa,12
bin.vamb_000105.fa,12
bin.vamb_000108.fa,12
bin.vamb_000109.fa,12
bin.vamb_000175.fa,12
bin.vamb_000003.fa,11
bin.vamb_000094.fa,11
bin.vamb_000137.fa,11
bin.vamb_000201.fa,11
bin.vamb_000203.fa,11
bin.vamb_000226.fa,11
bin.vamb_000113.fa,10
bin.vamb_000152.fa,10
bin.vamb_000207.fa,10
bin.vamb_000272.fa,10
bin.vamb_000017.fa,9
bin.vamb_000071.fa,9
bin.vamb_000131.fa,9
bin.vamb_000186.fa,9
bin.vamb_000229.fa,9
bin.vamb_000260.fa,9
bin.vamb_000077.fa,8
bin.vamb_000078.fa,8
bin.vamb_000114.fa,8
bin.vamb_000006.fa,7
bin.vamb_000038.fa,7
bin.vamb_000067.fa,7
bin.vamb_000153.fa,7
bin.vamb_000173.fa,7
bin.vamb_000179.fa,7
bin.vamb_000204.fa,7
bin.vamb_000224.fa,7
bin.vamb_000056.fa,6
bin.vamb_000102.fa,6
bin.vamb_000135.fa,6
bin.vamb_000162.fa,5
bin.vamb_000183.fa,5
bin.vamb_000275.fa,5
bin.vamb_000277.fa,5
bin.vamb_000262.fa,5
bin.vamb_000172.fa,4
bin.vamb_000180.fa,4
bin.vamb_000182.fa,4
bin.vamb_000238.fa,4
bin.vamb_000251.fa,4
bin.vamb_000261.fa,4
bin.vamb_000264.fa,4
bin.vamb_000271.fa,4
bin.vamb_000273.fa,4
bin.vamb_000092.fa,3
bin.vamb_000117.fa,3
bin.vamb_000133.fa,3
bin.vamb_000163.fa,3
bin.vamb_000040.fa,2
bin.vamb_000070.fa,2
bin.vamb_000075.fa,2
bin.vamb_000080.fa,2
bin.vamb_000279.fa,2
bin.vamb_000116.fa,1
bin.vamb_000124.fa,1
bin.vamb_000176.fa,1
bin.vamb_000177.fa,1
bin.vamb_000181.fa,1
bin.vamb_000195.fa,1
bin.vamb_000197.fa,1
bin.vamb_000276.fa,1
bin.vamb_000259.fa,1
