,h,m
CRR451057,0,6
CRR451058,0,0
CRR451059,1,6
CRR451060,0,1
CRR451061,1,2
CRR451062,1,3
CRR451063,1,6
CRR451064,0,2
CRR451065,0,2
CRR451066,1,4
CRR451067,1,4
CRR451068,1,8
CRR451069,0,2
CRR451070,3,7
CRR451071,4,2
CRR451072,1,2
CRR451073,2,6
CRR451074,4,5
CRR451075,0,0
CRR451076,2,0
CRR451077,1,0
CRR451078,1,0
CRR451079,3,2
CRR451080,2,1
CRR451081,5,8
CRR451082,2,2
CRR451083,2,2
CRR451084,3,6
CRR451085,0,3
CRR451086,1,1
CRR451087,0,2
CRR451088,3,3
CRR451089,8,4
CRR451090,4,4
CRR451091,0,1
CRR451092,0,1
CRR451093,3,5
CRR451094,0,1
CRR451095,1,3
CRR451096,1,8
CRR451097,0,2
CRR451098,1,5
CRR451099,0,0
CRR451100,0,2
CRR451101,0,1
CRR451102,2,4
CRR451103,0,2
CRR451104,0,1
CRR451105,0,1
CRR451106,1,0
CRR451107,0,1
CRR451108,0,1
CRR451109,0,0
CRR451110,0,0
CRR451111,0,0
CRR451112,0,2
CRR451113,0,2
CRR451114,2,9
CRR451115,4,2
CRR451116,1,2
CRR451117,0,3
CRR451118,1,2
CRR451119,0,2
CRR451120,0,0
CRR451121,0,4
CRR451122,0,0
CRR451123,0,0
CRR451124,0,1
CRR451125,0,1
CRR451126,1,1
CRR451127,0,5
CRR451128,1,8
CRR451129,0,0
CRR451130,0,0
CRR451131,0,2
CRR451132,0,1
CRR451133,0,1
CRR451134,3,5
CRR451135,0,0
CRR451136,0,1
CRR451137,1,7
CRR451138,1,6
CRR451139,3,1
CRR451140,0,7
CRR451141,0,0
CRR451142,2,10
CRR451143,3,5
CRR451144,1,4
CRR451145,0,0
CRR451146,7,6
CRR451147,3,17
CRR451148,0,0
CRR451149,0,1
CRR451150,0,4
CRR451151,4,5
CRR451152,0,3
CRR451153,0,2
CRR451154,0,2
CRR451155,0,2
CRR451156,1,1
CRR451157,0,2
CRR451158,1,0
CRR451159,0,0
CRR451160,0,0
