,h,m
CRR451057,3,6
CRR451058,2,0
CRR451059,0,6
CRR451060,3,1
CRR451061,2,3
CRR451062,0,4
CRR451063,3,6
CRR451064,0,2
CRR451065,0,0
CRR451066,1,2
CRR451067,3,1
CRR451068,1,6
CRR451069,1,1
CRR451070,3,7
CRR451071,4,2
CRR451072,0,1
CRR451073,2,4
CRR451074,1,6
CRR451075,0,0
CRR451076,1,0
CRR451077,0,0
CRR451078,0,2
CRR451079,0,3
CRR451080,1,5
CRR451081,1,9
CRR451082,1,5
CRR451083,2,7
CRR451084,0,9
CRR451085,0,1
CRR451086,0,4
CRR451087,0,0
CRR451088,4,2
CRR451089,3,5
CRR451090,4,5
CRR451091,1,0
CRR451092,0,0
CRR451093,2,6
CRR451094,1,3
CRR451095,0,1
CRR451096,3,3
CRR451097,2,5
CRR451098,1,4
CRR451099,0,0
CRR451100,3,3
CRR451101,0,2
CRR451102,1,5
CRR451103,0,0
CRR451104,0,1
CRR451105,1,4
CRR451106,1,1
CRR451107,0,0
CRR451108,0,0
CRR451109,0,0
CRR451110,0,0
CRR451111,0,1
CRR451112,0,0
CRR451113,0,0
CRR451114,4,12
CRR451115,4,5
CRR451116,2,2
CRR451117,4,0
CRR451118,6,4
CRR451119,3,3
CRR451120,2,0
CRR451121,0,1
CRR451122,0,0
CRR451123,0,0
CRR451124,0,1
CRR451125,0,0
CRR451126,1,0
CRR451127,0,2
CRR451128,2,6
CRR451129,0,0
CRR451130,0,1
CRR451131,1,0
CRR451132,0,2
CRR451133,1,1
CRR451134,2,6
CRR451135,0,0
CRR451136,0,2
CRR451137,3,9
CRR451138,4,6
CRR451139,3,3
CRR451140,2,13
CRR451141,0,0
CRR451142,4,10
CRR451143,4,9
CRR451144,2,9
CRR451145,0,0
CRR451146,15,18
CRR451147,2,24
CRR451148,0,0
CRR451149,0,1
CRR451150,0,2
CRR451151,5,14
CRR451152,0,0
CRR451153,0,0
CRR451154,0,3
CRR451155,2,0
CRR451156,0,2
CRR451157,0,1
CRR451158,0,1
CRR451159,0,0
CRR451160,0,0
