,h,m
CRR451057,5,9
CRR451058,2,2
CRR451059,1,7
CRR451060,3,5
CRR451061,1,2
CRR451062,1,2
CRR451063,2,4
CRR451064,0,2
CRR451065,0,5
CRR451066,1,5
CRR451067,4,3
CRR451068,2,9
CRR451069,2,1
CRR451070,4,9
CRR451071,5,1
CRR451072,1,3
CRR451073,3,7
CRR451074,4,9
CRR451075,0,0
CRR451076,2,1
CRR451077,0,2
CRR451078,0,1
CRR451079,2,4
CRR451080,2,5
CRR451081,5,10
CRR451082,2,2
CRR451083,3,5
CRR451084,3,4
CRR451085,0,5
CRR451086,1,2
CRR451087,0,3
CRR451088,5,5
CRR451089,10,6
CRR451090,7,6
CRR451091,1,2
CRR451092,0,1
CRR451093,5,7
CRR451094,1,4
CRR451095,1,4
CRR451096,3,10
CRR451097,4,7
CRR451098,2,7
CRR451099,0,0
CRR451100,4,4
CRR451101,1,2
CRR451102,3,9
CRR451103,0,3
CRR451104,1,1
CRR451105,1,4
CRR451106,1,2
CRR451107,0,5
CRR451108,2,3
CRR451109,0,0
CRR451110,0,2
CRR451111,1,0
CRR451112,1,3
CRR451113,1,3
CRR451114,3,14
CRR451115,0,0
CRR451116,5,7
CRR451117,2,2
CRR451118,6,5
CRR451119,4,8
CRR451120,2,1
CRR451121,3,5
CRR451122,0,0
CRR451123,0,0
CRR451124,0,0
CRR451125,0,2
CRR451126,2,2
CRR451127,0,4
CRR451128,4,12
CRR451129,0,0
CRR451130,0,1
CRR451131,4,9
CRR451132,0,4
CRR451133,1,1
CRR451134,4,5
CRR451135,0,0
CRR451136,4,8
CRR451137,3,13
CRR451138,6,5
CRR451139,5,4
CRR451140,6,18
CRR451141,0,0
CRR451142,5,15
CRR451143,8,6
CRR451144,5,7
CRR451145,0,0
CRR451146,8,12
CRR451147,5,16
CRR451148,0,0
CRR451149,0,2
CRR451150,0,3
CRR451151,10,10
CRR451152,0,4
CRR451153,0,1
CRR451154,0,8
CRR451155,1,7
CRR451156,1,2
CRR451157,0,3
CRR451158,1,0
CRR451159,0,0
CRR451160,0,0
