,h,m
CRR451057,2,2
CRR451058,1,0
CRR451059,0,0
CRR451060,2,1
CRR451061,1,0
CRR451062,0,1
CRR451063,1,1
CRR451064,0,0
CRR451065,0,0
CRR451066,0,1
CRR451067,2,1
CRR451068,0,1
CRR451069,1,0
CRR451070,1,0
CRR451071,2,1
CRR451072,0,0
CRR451073,1,1
CRR451074,1,2
CRR451075,0,0
CRR451076,1,1
CRR451077,0,0
CRR451078,0,0
CRR451079,0,1
CRR451080,0,3
CRR451081,1,0
CRR451082,0,1
CRR451083,1,1
CRR451084,0,1
CRR451085,0,0
CRR451086,0,0
CRR451087,0,0
CRR451088,3,1
CRR451089,1,2
CRR451090,3,4
CRR451091,0,0
CRR451092,0,0
CRR451093,3,0
CRR451094,1,1
CRR451095,0,1
CRR451096,3,0
CRR451097,2,1
CRR451098,0,2
CRR451099,0,0
CRR451100,3,0
CRR451101,0,1
CRR451102,2,2
CRR451103,0,0
CRR451104,0,1
CRR451105,1,0
CRR451106,0,0
CRR451107,0,1
CRR451108,0,1
CRR451109,0,0
CRR451110,0,0
CRR451111,0,2
CRR451112,0,0
CRR451113,1,0
CRR451114,2,2
CRR451115,0,0
CRR451116,2,1
CRR451117,2,0
CRR451118,4,2
CRR451119,1,2
CRR451120,1,0
CRR451121,0,1
CRR451122,0,0
CRR451123,0,0
CRR451124,0,0
CRR451125,0,0
CRR451126,1,0
CRR451127,0,0
CRR451128,1,2
CRR451129,0,0
CRR451130,0,0
CRR451131,1,1
CRR451132,0,0
CRR451133,1,0
CRR451134,1,1
CRR451135,0,0
CRR451136,0,1
CRR451137,2,2
CRR451138,2,1
CRR451139,2,0
CRR451140,0,3
CRR451141,0,0
CRR451142,2,1
CRR451143,2,2
CRR451144,2,5
CRR451145,0,0
CRR451146,5,2
CRR451147,0,4
CRR451148,0,0
CRR451149,0,0
CRR451150,0,0
CRR451151,3,5
CRR451152,0,0
CRR451153,0,0
CRR451154,0,0
CRR451155,2,0
CRR451156,0,1
CRR451157,0,0
CRR451158,0,1
CRR451159,0,0
CRR451160,0,0
