,h,m
CRR451057,0,9
CRR451058,1,3
CRR451059,2,5
CRR451060,3,4
CRR451061,0,3
CRR451062,1,4
CRR451063,1,7
CRR451064,0,1
CRR451065,0,3
CRR451066,1,5
CRR451067,3,2
CRR451068,3,8
CRR451069,2,4
CRR451070,2,6
CRR451071,4,1
CRR451072,1,2
CRR451073,2,7
CRR451074,3,9
CRR451075,0,0
CRR451076,1,1
CRR451077,0,4
CRR451078,0,1
CRR451079,3,3
CRR451080,1,2
CRR451081,3,11
CRR451082,1,3
CRR451083,1,6
CRR451084,2,3
CRR451085,1,4
CRR451086,0,4
CRR451087,0,3
CRR451088,3,6
CRR451089,4,8
CRR451090,4,5
CRR451091,1,1
CRR451092,0,2
CRR451093,4,8
CRR451094,1,3
CRR451095,0,3
CRR451096,0,9
CRR451097,3,7
CRR451098,1,4
CRR451099,0,0
CRR451100,2,3
CRR451101,0,3
CRR451102,1,9
CRR451103,0,2
CRR451104,1,1
CRR451105,1,3
CRR451106,1,0
CRR451107,0,3
CRR451108,2,2
CRR451109,0,0
CRR451110,0,2
CRR451111,0,2
CRR451112,1,2
CRR451113,1,3
CRR451114,4,9
CRR451115,0,0
CRR451116,3,7
CRR451117,1,3
CRR451118,3,5
CRR451119,2,3
CRR451120,1,1
CRR451121,2,6
CRR451122,0,0
CRR451123,0,0
CRR451124,0,0
CRR451125,0,2
CRR451126,1,2
CRR451127,0,5
CRR451128,3,11
CRR451129,0,0
CRR451130,0,0
CRR451131,1,3
CRR451132,0,1
CRR451133,0,4
CRR451134,1,5
CRR451135,0,0
CRR451136,0,2
CRR451137,0,10
CRR451138,4,5
CRR451139,2,3
CRR451140,5,10
CRR451141,0,0
CRR451142,2,10
CRR451143,4,10
CRR451144,2,8
CRR451145,0,0
CRR451146,4,12
CRR451147,4,14
CRR451148,0,0
CRR451149,0,4
CRR451150,0,4
CRR451151,4,16
CRR451152,0,4
CRR451153,0,0
CRR451154,1,5
CRR451155,1,4
CRR451156,1,3
CRR451157,0,3
CRR451158,0,1
CRR451159,0,0
CRR451160,0,0
