,h,m
CRR451057,0,3
CRR451058,0,0
CRR451059,0,6
CRR451060,0,1
CRR451061,0,1
CRR451062,1,0
CRR451063,1,5
CRR451064,0,2
CRR451065,0,2
CRR451066,1,5
CRR451067,2,1
CRR451068,2,6
CRR451069,0,0
CRR451070,3,4
CRR451071,3,0
CRR451072,2,1
CRR451073,3,6
CRR451074,0,0
CRR451075,0,0
CRR451076,2,0
CRR451077,0,0
CRR451078,0,0
CRR451079,0,2
CRR451080,2,1
CRR451081,3,8
CRR451082,1,2
CRR451083,1,3
CRR451084,1,6
CRR451085,0,2
CRR451086,0,2
CRR451087,0,2
CRR451088,3,1
CRR451089,0,0
CRR451090,2,4
CRR451091,0,1
CRR451092,0,0
CRR451093,0,0
CRR451094,1,4
CRR451095,0,3
CRR451096,0,9
CRR451097,3,5
CRR451098,1,3
CRR451099,0,0
CRR451100,2,3
CRR451101,1,0
CRR451102,0,0
CRR451103,0,1
CRR451104,1,0
CRR451105,0,0
CRR451106,0,0
CRR451107,0,1
CRR451108,1,2
CRR451109,0,0
CRR451110,0,0
CRR451111,0,0
CRR451112,0,1
CRR451113,1,1
CRR451114,1,8
CRR451115,0,0
CRR451116,3,5
CRR451117,0,2
CRR451118,3,3
CRR451119,0,0
CRR451120,0,0
CRR451121,0,6
CRR451122,0,0
CRR451123,0,0
CRR451124,0,0
CRR451125,0,0
CRR451126,0,0
CRR451127,0,4
CRR451128,3,8
CRR451129,0,0
CRR451130,0,0
CRR451131,0,0
CRR451132,0,0
CRR451133,0,0
CRR451134,2,3
CRR451135,0,0
CRR451136,0,0
CRR451137,1,6
CRR451138,2,3
CRR451139,0,3
CRR451140,2,7
CRR451141,0,0
CRR451142,2,7
CRR451143,2,2
CRR451144,0,0
CRR451145,0,0
CRR451146,4,7
CRR451147,3,17
CRR451148,0,0
CRR451149,0,0
CRR451150,0,0
CRR451151,0,0
CRR451152,0,0
CRR451153,0,0
CRR451154,0,3
CRR451155,1,2
CRR451156,0,0
CRR451157,0,3
CRR451158,1,0
CRR451159,0,0
CRR451160,0,0
