,sample,quality,bin_size,stage,rawname
bin.lorbin_000001,CRR451057,h,1,1,CRR451057-bin.000000
bin.lorbin_000002,CRR451057,h,2,1,CRR451057-bin.000001
bin.lorbin_000003,CRR451057,h,2,1,CRR451057-bin.000002
bin.lorbin_000004,CRR451057,h,2,1,CRR451057-bin.000003
bin.lorbin_000005,CRR451057,h,6,1,CRR451057-bin.000004
bin.lorbin_000006,CRR451057,m,35,1,CRR451057-bin.000005
bin.lorbin_000007,CRR451057,m,49,1,CRR451057-bin.000006
bin.lorbin_000008,CRR451057,m,7,1,CRR451057-bin.000007
bin.lorbin_000009,CRR451057,m,24,1,CRR451057-bin.000008
bin.lorbin_000010,CRR451057,m,68,1,CRR451057-bin.000009
bin.lorbin_000011,CRR451057,m,5,2,CRR451057-bin.000010
bin.lorbin_000012,CRR451057,m,59,2,CRR451057-bin.000011
bin.lorbin_000013,CRR451057,m,92,2,CRR451057-bin.000015
bin.lorbin_000014,CRR451057,m,27,2,CRR451057-bin.000016
bin.lorbin_000015,CRR451058,h,1,1,CRR451058-bin.000000
bin.lorbin_000016,CRR451058,h,1,1,CRR451058-bin.000001
bin.lorbin_000017,CRR451058,m,344,1,CRR451058-bin.000002
bin.lorbin_000018,CRR451058,m,113,1,CRR451058-bin.000003
bin.lorbin_000019,CRR451059,h,16,1,CRR451059-bin.000000
bin.lorbin_000020,CRR451059,m,35,1,CRR451059-bin.000001
bin.lorbin_000021,CRR451059,m,63,1,CRR451059-bin.000002
bin.lorbin_000022,CRR451059,m,104,1,CRR451059-bin.000003
bin.lorbin_000023,CRR451059,m,43,1,CRR451059-bin.000004
bin.lorbin_000024,CRR451059,m,49,2,CRR451059-bin.000005
bin.lorbin_000025,CRR451059,m,72,2,CRR451059-bin.000006
bin.lorbin_000026,CRR451059,m,57,2,CRR451059-bin.000007
bin.lorbin_000027,CRR451060,h,1,1,CRR451060-bin.000000
bin.lorbin_000028,CRR451060,h,10,1,CRR451060-bin.000001
bin.lorbin_000029,CRR451060,h,1,1,CRR451060-bin.000002
bin.lorbin_000030,CRR451060,m,1,1,CRR451060-bin.000003
bin.lorbin_000031,CRR451060,m,133,1,CRR451060-bin.000004
bin.lorbin_000032,CRR451060,m,78,2,CRR451060-bin.000005
bin.lorbin_000033,CRR451060,m,44,2,CRR451060-bin.000010
bin.lorbin_000034,CRR451060,m,81,2,CRR451060-bin.000013
bin.lorbin_000035,CRR451061,h,1,1,CRR451061-bin.000000
bin.lorbin_000036,CRR451061,m,58,1,CRR451061-bin.000002
