evenness,sil
0.969891008,-0.5515953
0.947292448,-0.5073165
0.908098848,-0.44615865
0.875068745,-0.48282412
0.830378719,-0.4588793
0.795344448,-0.3495001
0.733384437,-0.5514142
0.664987036,-0.5263503
0.583226301,-0.3665127
0.426464073,-0.16870894
0.975076951,-0.54364467
0.943218364,-0.5347227
0.909528663,-0.5332627
0.868551955,-0.4470599
0.851210538,-0.40099022
0.786956774,-0.40796378
0.735544853,-0.56717616
0.675825332,-0.7693046
0.573148315,-0.72634417
0.413501815,-0.32534075
0.96601381,-0.34274837
0.936946775,-0.54641294
0.902420443,-0.4559777
0.879605894,-0.44036004
0.852689466,-0.32799944
0.814352693,-0.5057209
0.719265866,-0.34063083
0.639571587,-0.44782126
0.544354328,-0.5303736
0.435368744,-0.50485325
0.955538511,-0.59075046
0.934999364,-0.34722847
0.913389838,-0.49333587
0.881079732,-0.42532358
0.838358116,-0.46233964
0.808661677,-0.321026
0.745856054,-0.5007675
0.663938876,-0.41834992
0.552278129,-0.5730359
0.422894198,-0.16297813
0.958959995,-0.45311505
0.942784313,-0.43819478
0.912231507,-0.32432666
0.879324674,-0.2772992
0.850297571,-0.50584406
0.787849149,-0.4418055
0.746411186,-0.48502758
0.682715987,-0.39855564
0.577505616,-0.5508284
0.454465904,-0.5492675
0.962814538,-0.46295002
0.9304107,-0.5118613
0.916821237,-0.35113972
0.883470478,-0.5020191
0.837943673,-0.4075865
0.809505221,-0.33540452
0.715336226,-0.59749454
0.67564284,-0.5869264
0.587102325,-0.058596898
0.412598943,-0.47066322
0.968997297,-0.48238012
0.946803154,-0.40221107
0.919306283,-0.4808896
0.889656955,-0.36630312
0.846733407,-0.40262184
0.810363006,-0.3549488
0.717413611,-0.46792954
0.666641488,-0.15554856
0.582019955,-0.34415054
0.403803236,-0.49903414
0.973210039,-0.42806447
0.946910527,-0.5075454
0.917398286,-0.4422821
0.867427536,-0.58435994
0.831452775,-0.4784159
0.797576057,-0.55971384
0.719427921,-0.32771415
0.658370273,-0.5412752
0.570768245,-0.60666794
0.431796776,-0.50860745
0.966684431,-0.5179289
0.940517828,-0.53335696
0.907548331,-0.44988662
0.875367593,-0.3761287
0.855838003,-0.37383032
0.803741353,-0.36297092
0.710926663,-0.44597784
0.678351131,-0.4707021
0.562042238,-0.2787249
0.437421629,-0.44435167
0.977723333,-0.50350827
0.943930598,-0.52882606
0.915791329,-0.43002015
0.870760771,-0.34717402
0.850042307,-0.30026796
0.797481954,-0.464398
0.7495062,-0.5204076
0.680277742,-0.48983592
0.534375998,-0.44091237
0.42434216,-0.1406078
