evenness,sil
0.971533031,-0.057989369
0.950276083,-0.049297625
0.944572039,-0.061510949
0.868007243,-0.058426233
0.7870875,-0.038977087
0.710002629,-0.016009382
0.66747737,0.008839017
0.513905728,0.003088659
0.477986431,-0.027330158
0.351658202,-0.002235833
0.992787423,-0.036477069
0.964445678,-0.028886139
0.891709172,-0.019600577
0.860922446,0.000413781
0.796847375,-0.043450569
0.69706122,0.013631352
0.656671019,-0.038062742
0.511501469,-0.008858498
0.474202085,0.014612
0.249911011,0.100198885
0.992787423,-0.074519018
0.978617828,-0.041669876
0.923164255,-0.04969787
0.865047608,-0.025767112
0.782675225,-0.035906869
0.718247592,-0.018465955
0.642858526,-0.032893884
0.489698004,0.014492526
0.340163259,0.099371841
0.303825862,0.102788701
0.978617828,-0.05594628
0.964445678,-0.073593432
0.891709172,-0.011952073
0.84036817,-0.052966973
0.785151861,0.000563297
0.710002629,-0.004907463
0.625580754,0.040790898
0.457619504,0.010348552
0.419922433,0.049596661
0.301082022,0.131485057
0.985702626,-0.060531052
0.992787423,-0.059570963
0.904149233,-0.019391758
0.829431795,-0.061001697
0.809353903,0.007516937
0.732341123,-0.02304842
0.575421958,0.016847809
0.523916534,0.045664366
0.377617011,0.009836882
0.349438733,0.073773936
0.985702626,-0.020017991
0.975942751,-0.027234044
0.893587483,-0.050450349
0.860922446,0.00560951
0.808177403,0.004697268
0.682891624,-0.000905455
0.618785425,-0.003254769
0.546351526,0.013053285
0.421282107,0.017685139
0.311092828,-0.012647232
0.992787423,-0.045464268
0.975942751,-0.018026972
0.916230294,-0.019433
0.858247369,-0.077187352
0.805502326,-0.049532499
0.732419741,-0.018169712
0.575421958,-0.009657491
0.560888026,0.065338592
0.459810905,0.080517785
0.332160961,0.067886226
0.978617828,-0.017084111
0.944572039,-0.055953807
0.923164255,-0.097327363
0.833283372,-0.024506349
0.773115264,-0.02988433
0.689976422,-0.003700232
0.625580754,0.020764623
0.508757629,0.03445404
0.456063078,0.092033823
0.351290419,0.096438772
0.978617828,-0.034617777
0.971533031,-0.046521773
0.916079457,-0.057231574
0.868007243,-0.064653683
0.766030467,-0.066752613
0.712677706,-0.092708176
0.643916373,0.026925208
0.511501469,0.03795441
0.451537384,0.033835267
0.345805307,-0.056712166
0.968857954,-0.029992833
0.961773156,-0.04275336
0.916079457,-0.047337091
0.841118139,-0.055536485
0.785151861,-0.041667364
0.631237529,-0.005824839
0.597217724,-0.008784646
0.582683793,0.061762666
0.402644661,0.074838845
0.317624461,-0.003951431
