,LorBin,COMEBin,SemiBin,SemiBin2,VAMB,AAMB,MetaBAT2
0,0.190487567,0.021475859,-0.039551323,-0.008918997,-0.33556092,-0.217594874,0.026453531
1,0.193327156,0.053188416,-0.032520891,-0.007669793,-0.281760354,-0.272530819,0.022762043
2,0.182819502,0.025188594,-0.035683946,-0.001597637,-0.289858713,-0.229620707,0.02118788
3,0.222244085,0.044632466,-0.028956062,0.004767212,-0.333133569,-0.220749945,0.02201576
4,0.236362618,0.035173633,-0.034230463,-0.003813589,-0.353196947,-0.250552297,0.023156409
5,0.167809607,0.0235325,-0.043214702,-0.00436298,-0.276433558,-0.199411337,0.033189467
6,0.187908252,0.035279586,-0.032812515,0.006670108,-0.296017164,-0.193176196,0.009151071
7,0.159343494,0.016130197,-0.037883624,-0.005861209,-0.305747365,-0.247435694,0.025280885
8,0.257154845,0.037461161,-0.030111276,0.00686891,-0.328522071,-0.207583997,0.028582392
9,0.234423837,0.050519397,-0.02851614,0.006256474,-0.29765558,-0.21511611,0.028816036
