,LorBin,COMEBin,SemiBin,SemiBin2,VAMB,AAMB,MetaBAT2
0,0.122387531,-0.008763557,-0.04323234,-0.002616689,-0.314740327,-0.203311787,0.013313651
1,0.075561181,-0.008754579,-0.041112404,-0.003100254,-0.260593633,-0.231586301,0.011557226
2,0.134809405,0.01004568,-0.027543688,-0.004709667,-0.252848618,-0.193942579,0.012560031
3,0.076742548,-0.000883406,-0.039004467,0.000654279,-0.330950895,-0.218713884,0.031926691
4,0.103508354,-0.000446531,-0.036220387,-0.002517359,-0.299901292,-0.213052984,0.019174336
5,0.098379544,0.001747141,-0.03670135,0.003466263,-0.290596558,-0.202170779,0.029484406
6,0.14432355,0.005766674,-0.024927809,-0.005977833,-0.283915211,-0.183902919,0.016136842
7,0.102890115,-0.005996184,-0.039765151,-0.010470397,-0.330481766,-0.269953571,0.024799009
8,0.153211266,-0.017866898,-0.042368643,-0.007758494,-0.328352855,-0.209914003,-0.001456495
9,0.093257615,-0.007238137,-0.054314773,-0.019612746,-0.304602437,-0.221315408,0.020566866
