evenness,sil
0.962036722,-0.111340973
0.932145994,-0.089043091
0.882303123,-0.089878891
0.858351721,-0.083701028
0.817388811,-0.12165033
0.775837067,-0.102288551
0.711906435,-0.024799515
0.644648576,-0.000478855
0.520931771,-0.034120602
0.366533832,-0.068639207
0.955026117,-0.125749324
0.932976714,-0.10090831
0.887220259,-0.091580243
0.86698653,-0.093982615
0.83066843,-0.117485944
0.785832317,-0.011561537
0.732563651,-0.10168462
0.640202622,-0.039550533
0.573805654,-0.044638097
0.430370558,-0.131374278
0.952729833,-0.109390506
0.931771504,-0.140110902
0.898089455,-0.072030596
0.857517243,-0.108078176
0.828146508,-0.117521819
0.776469456,-0.07756533
0.723792604,-0.022293859
0.654616163,-0.059629271
0.553191649,-0.028935307
0.376981264,-0.059470561
0.94915502,-0.107007362
0.918687832,-0.113371484
0.895434303,-0.075722272
0.847997831,-0.098776968
0.83767057,-0.095017173
0.778959269,-0.090211597
0.728628568,-0.10873194
0.645941721,-0.073467685
0.550113379,-0.067965639
0.397189066,-0.047346005
0.949986863,-0.113763514
0.926179677,-0.125966671
0.901521661,-0.130465674
0.869016311,-0.107269761
0.82837087,-0.059054489
0.789288598,-0.090428788
0.733023183,-0.082251575
0.667135524,-0.027258245
0.55380225,-0.087620053
0.346921647,-0.143187713
0.949317453,-0.121850296
0.923127627,-0.118293339
0.901873567,-0.119572658
0.862753276,-0.094316029
0.835582863,-0.082675479
0.782707673,-0.084966351
0.713881362,-0.06720807
0.648814736,-0.049510003
0.538714127,-0.029202688
0.473019348,0.071903172
0.944862403,-0.097909912
0.927602205,-0.12355756
0.891874681,-0.139755479
0.859320232,-0.092849314
0.845385268,-0.090252646
0.792363434,-0.102378829
0.708812365,-0.075513005
0.647226386,-0.103900664
0.56325585,-0.068246706
0.477307345,0.067624823
0.953172909,-0.110625729
0.920820874,-0.091838594
0.89826003,-0.085652755
0.870730165,-0.116377144
0.837407638,-0.074550379
0.76612088,-0.05537411
0.731499393,-0.100678366
0.632658916,-0.074492587
0.554022583,-0.053820234
0.378410458,-0.128374558
0.95419396,-0.122281843
0.92865606,-0.089476496
0.900815035,-0.118077808
0.879690825,-0.120857467
0.828176675,-0.092058209
0.782219212,-0.097130401
0.717415685,-0.129118357
0.64963433,-0.106562163
0.557803525,-0.028121641
0.366714344,-0.167609437
0.954045234,-0.098734382
0.925485424,-0.119722783
0.900254576,-0.105242805
0.872513477,-0.090115402
0.830197327,-0.096845193
0.768704367,-0.117996251
0.715052453,-0.064803743
0.660961298,-0.111718186
0.53443582,-0.008760716
0.394104667,-0.089681838
