evenness,sil
0.964274618,-0.61709017
0.930069877,-0.52517694
0.916893706,-0.45031056
0.872812218,-0.32291535
0.832892789,-0.5611051
0.787265368,-0.5141531
0.716688178,-0.72668904
0.687956297,-0.5423391
0.571332375,-0.60152054
0.436248275,-0.25845164
0.955031514,-0.515255
0.925901673,-0.55660695
0.907555244,-0.74174356
0.872026381,-0.52593446
0.836446754,-0.62393326
0.815107537,-0.58814764
0.735226411,-0.34704855
0.671353608,-0.5035031
0.591787865,-0.46527907
0.468626172,-0.58996767
0.957798778,-0.6097659
0.929166863,-0.49497667
0.89910351,-0.49208096
0.871362492,-0.6662048
0.82852086,-0.76197237
0.790029878,-0.48215395
0.717787595,-0.35594964
0.673617048,-0.49914503
0.578310173,-0.4296932
0.457972729,-0.5644645
0.962268063,-0.48411235
0.936989073,-0.47891462
0.899913002,-0.5948375
0.858624672,-0.6095551
0.849385568,-0.6068903
0.775875437,-0.7000977
0.744459166,-0.4847543
0.657221951,-0.63281757
0.594573667,-0.54691774
0.438598491,-0.50213045
0.959247536,-0.7472597
0.950855662,-0.7652914
0.907075186,-0.6308876
0.86752362,-0.60266745
0.835034851,-0.79958534
0.776420116,-0.45809418
0.716041101,-0.44860452
0.670210336,-0.50911367
0.591918323,-0.69401956
0.424050505,-0.47419924
0.945957313,-0.40897986
0.934739011,-0.71748877
0.914007365,-0.76041347
0.875985354,-0.74207455
0.848167373,-0.49771348
0.795363622,-0.70566905
0.725481333,-0.31588334
0.647156963,-0.4365428
0.57497204,-0.7197215
0.445619007,-0.5995697
0.951472327,-0.47803193
0.93127343,-0.68060386
0.910477684,-0.68609244
0.884617988,-0.22739264
0.837364317,-0.48426908
0.792448446,-0.51136446
0.714946731,-0.69830686
0.664907502,-0.474296
0.5629519,-0.60710835
0.430204824,-0.33189523
0.957892592,-0.61791426
0.9463497,-0.5707017
0.899483568,-0.618264
0.878615289,-0.433758
0.826004132,-0.4858874
0.791513057,-0.5473254
0.743057669,-0.40398616
0.644472956,-0.4851174
0.5583878,-0.63903743
0.469690357,-0.46150067
0.960621635,-0.58893955
0.94063217,-0.6177212
0.91873891,-0.651439
0.884049846,-0.6863653
0.824047861,-0.502317
0.787139385,-0.6387511
0.736154467,-0.3506859
0.670492792,-0.3290063
0.549962725,-0.6170111
0.439301425,-0.5933685
0.950330233,-0.51682615
0.931362039,-0.53484756
0.904973628,-0.70306665
0.869955765,-0.69287837
0.828436204,-0.4718622
0.798455329,-0.56828296
0.725894166,-0.31140995
0.6771911,-0.6424939
0.534780198,-0.27510056
0.440000279,-0.6985727
